Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
59.01521,63.30672,58.70402,6875.846,-1963.609,-5.002,25.492,34.10091,189.86 yds,27.06492,-8.48221,-15.93832,58.86683,58.06649,LW,57.16948,5.602,0,0,5.602,0,0,0,0,0,0,1.026842
58.11833,62.76949,57.03749,7968.077,-1176.958,0.586,29.374,38.84528,189.52 yds,32.02093,-1.250366,-8.402355,57.74628,57.09208,LW,59.70169,5.828,-4.134,0,5.828,0,0,0,0,0,0,0.9553748
61.64842,65.41177,59.15364,7741.707,-1572.926,-2.362,28.754,38.9161,187.19 yds,33.55698,-5.319884,-11.48478,61.35337,60.79724,LW,59.95223,3.585,-3.903,0,3.585,0,0,0,0,0,0,0.9866796
57.0379,61.12184,55.9481,4042.588,-1715.498,-2.296,34.042,42.26876,191.65 yds,35.9567,-6.219153,-22.99425,56.67917,56.98491,LW,45.08329,4.855,6.545,0,4.855,0,0,0,0,0,0,1.240994
52.05752,56.84206,53.26378,7256.13,-453.467,0.363,31.085,38.45532,195.43 yds,29.67882,-0.2878543,-3.576011,51.80787,51.38124,LW,58.7935,0.952,-4.57,0,0.952,0,0,0,0,0,0,0.9059468
69.70834,81.32485,66.80845,5911.941,6.808,1.065,19.691,28.03623,170.97 yds,24.861,1.313081,0.06597994,69.67331,69.08027,SW,58.41992,1.778,-5.94,0,1.778,0,0,0,0,0,0,1.14359
68.41302,73.20705,62.83564,8183.583,-945.379,-1.909,29.13,41.02424,179.27 yds,39.53018,-4.272062,-6.589679,67.92325,67.0899,SW,61.4465,2.899,-4.488,0,2.899,0,0,0,0,0,0,1.022607
47.19526,56.23078,55.17413,4436.337,2411.675,18.285,20.969,25.43488,201.58 yds,15.96592,17.88237,28.52932,47.09601,46.97397,SW,55.36874,1.606,-0.893,0,1.606,0,0,0,0,0,0,0.9964851
75.83093,80.159,66.92253,6886.187,-1693.583,-4.886,29.13,41.47711,173.44 yds,44.63846,-11.2193,-13.81705,75.12672,74.93658,SW,60.94767,1.795,-4.658,0,1.795,0,0,0,0,0,0,1.098033
54.16021,58.28568,54.92359,6202.275,-1361.237,-4.25,29.372,37.09761,194.49 yds,28.65894,-6.163439,-12.37866,53.96392,53.52472,SW,51.30198,1.329,-2.408,0,1.329,0,0,0,0,0,0,1.070594
